Date	Time	DT00233_1-2DHW_Actual_Temperature	DT00233_0DHW_setpoint	DT00209_0-1Outdoor_temperature_measured_value	DT00233_3-4DHW_cylinder_temperature	DT00048_0-1mains_voltage	DT00227_0.0Operation_State_Source__HEAT	DT00227_0.2Operation_State_Source__IDLE	DT00227_13System_Power	DT00228_23-24Appliance_Supply_Temperature	DT00022_0CH_switch_on_off	DT00231_0Circulation_pump_request	DT00233_17-19Number_of_starts_DHW	DT00233_14-16Total_working_time_DHW	DT00233_13.2DHW_status_info_2__Circulation_Pump_is_running	DT00233_12.6DHW_status_info_1___free	
17.07.2013	00:02:52	54.40	10	17.10	54.40	0.30	0	1	0	34.40		0	57	1243	0	0	
17.07.2013	00:02:52	54.40	10	17.10	54.40	0.30	0	1	0	34.40		0	57	1243	0	0	
17.07.2013	00:03:00	54.40	10	17.10	54.40	0.30	0	1	0	34.40		0	57	1243	0	0	
17.07.2013	00:03:01	54.40	10	17.10	54.40	0.30	0	1	0	34.40		0	57	1243	0	0	
17.07.2013	00:03:01	54.40	10	17.10	54.40	0.30	0	1	0	34.40		0	57	1243	0	0	
17.07.2013	00:03:25	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:25	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:25	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:26	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:26	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:35	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:36	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:36	54.40	10	17.10	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:36	54.40	10	17.20	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:37	54.40	10	17.20	54.40	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:38	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:39	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:45	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:45	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:45	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:46	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:46	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:55	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:55	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:55	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:56	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:03:56	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:05	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:05	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:05	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:06	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:06	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:15	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:15	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:15	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:16	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:04:17	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:31	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:31	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:31	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:32	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:32	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:41	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:41	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:42	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:42	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:42	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:43	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:45	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
17.07.2013	00:05:51	54.30	10	17.20	54.30	0.30	0	1	0	34.30		0	57	1243	0	0	
